id,ts,signal_type,platform,airfield,is_standdown,source,msg_id,evidence,raid_day
61320,2024-06-14T11:50:37+00:00,carrier,mig31k,,False,kpszsu,15453,"⚠УВАГА
🚨 Вся Україна - ракетна небезпека!
🛫 Зафіксовано зліт МіГ-31К!",2024-06-14
61321,2024-06-14T23:13:27+00:00,carrier,mig31k,Саваслейка,False,kpszsu,15468,"⚠УВАГА
🚨 Вся Україна - ракетна небезпека!
🛫 Зафіксовано зліт МіГ-31К з аеродрому Саваслейка (Нижньогородська область).",2024-06-14
61322,2024-06-15T06:21:52+00:00,carrier,mig31k,,False,kpszsu,15473,"⚠УВАГА
🚨 Вся Україна - ракетна небезпека!
🛫 Зафіксовано зліт МіГ-31К",2024-06-14
61323,2024-06-19T14:14:33+00:00,carrier,mig31k,Саваслейка,False,kpszsu,15577,"⚠Увага!
Ракетна небезпека по всій території України! Зліт МіГ-31К з аеродрому Саваслейка.",2024-06-19
61324,2024-06-20T10:48:43+00:00,carrier,mig31k,Саваслейка,False,kpszsu,15617,"⚠УВАГА
🚨 Вся Україна - ракетна небезпека!
🛫 Зафіксовано зліт МіГ-31К з аеродрому Саваслейка (Нижньогородська область).",2024-06-20
61325,2024-06-21T10:58:51+00:00,carrier,mig31k,Саваслейка,False,kpszsu,15654,"⚠Увага!
Ракетна небезпека по всій території України! Зліт МіГ-31К з аеродрому Саваслейка.",2024-06-21
61326,2024-06-21T11:25:59+00:00,carrier,mig31k,,True,kpszsu,15656,📢 Відбій загрози по МіГ-31К.,2024-06-21
61327,2024-06-21T17:20:39+00:00,carrier,mig31k,,False,kpszsu,15665,"⚠Увага!
🚀Ракетна небезпека по всій території України! Зліт МіГ-31К.",2024-06-21
61328,2024-06-21T20:40:27+00:00,carrier,mig31k,,False,kpszsu,15669,"⚠Увага!
🚀Ракетна небезпека по всій території України! 
🛫Зліт МіГ-31К.",2024-06-21
61329,2024-06-21T20:47:54+00:00,carrier,tu95,,False,kpszsu,15671,"⚠️ Увага!
🛩 Зафіксовано зліт 4 бортів ТУ-95МС з авіабази Оленья.
🚨Тривогу не ігноруємо!",2024-06-21
61330,2024-06-24T17:14:33+00:00,carrier,mig31k,Саваслейка,False,kpszsu,15783,"⚠УВАГА
🚨 Вся Україна - ракетна небезпека!
🛫 Зафіксовано зліт МіГ-31К з аеродрому Саваслейка (Нижньогородська область).",2024-06-24
61331,2024-06-24T18:44:32+00:00,carrier,mig31k,Саваслейка,False,kpszsu,15788,"⚠УВАГА
🚨 Вся Україна - ракетна небезпека!
🛫 Зафіксовано зліт МіГ-31К з аеродрому Саваслейка (Нижньогородська область).",2024-06-24
61332,2024-06-24T19:18:36+00:00,carrier,mig31k,Саваслейка,False,kpszsu,15790,"⚠УВАГА
🚨 Вся Україна - ракетна небезпека!
🛫 Зафіксовано зліт МіГ-31К з аеродрому Саваслейка (Нижньогородська область).",2024-06-24
61333,2024-06-25T14:22:18+00:00,carrier,mig31k,Саваслейка,False,kpszsu,15807,"⚠ Увага!
🛬Ракетна небезпека по всій території України! Зліт МіГ-31К з аеродрому Саваслейка (Нижньогородська область).
Не ігноруйте сигнал повітряної тривоги!""",2024-06-25
61334,2024-06-26T23:47:06+00:00,carrier,mig31k,,False,kpszsu,15858,"⚠Увага!
Ракетна небезпека по всій території України! Зліт МіГ-31К.",2024-06-26
61335,2024-06-29T06:57:31+00:00,carrier,mig31k,,False,kpszsu,15942,"⚠  Увага!
Ракетна небезпека по всій території України! Зліт МіГ-31К 
Не ігноруйте сигнал повітряної тривоги!""",2024-06-28
61336,2024-07-01T13:29:36+00:00,carrier,mig31k,,False,kpszsu,16037,"⚠  Увага!
Ракетна небезпека по всій території України! Зліт МіГ-31К 
Не ігноруйте сигнал повітряної тривоги!""",2024-07-01
61337,2024-07-01T20:11:07+00:00,carrier,mig31k,,False,kpszsu,16044,"⚠  Увага!
Ракетна небезпека по всій території України! Зліт МіГ-31К 
Не ігноруйте сигнал повітряної тривоги!""",2024-07-01
61338,2024-07-02T13:30:11+00:00,carrier,mig31k,Саваслейка,False,kpszsu,16067,"⚠Увага!
Ракетна небезпека по всій території України! Зліт МіГ-31К з аеродрому Саваслейка.",2024-07-02
61339,2024-07-02T14:09:33+00:00,carrier,mig31k,,True,kpszsu,16068,"📢 Відбій загрози МіГ-31К .

🛫Зберігається активність ворожої тактичної авіації  на північно-східному та південно-східному напрямках!
🚀Загроза застосування авіаційних засобів ураження!",2024-07-02
61340,2024-07-04T20:41:52+00:00,carrier,mig31k,Саваслейка,False,kpszsu,16171,"⚠Увага!
Ракетна небезпека по всій території України!
Зліт МіГ-31К з аеродрому Саваслейка.",2024-07-04
61341,2024-07-04T21:11:06+00:00,carrier,mig31k,,True,kpszsu,16172,"📢 Відбій загрози МіГ-31К .

Триває атака ударних БпЛА:
1. Група через Чернігівщину ➡️ у західному напрямку!
2. Група через Полтавщину ➡️ курсом на Черкащину/Київщину!
3. Через Херсонщину ➡️ курсом на Миколаївську/ Дніпропетровську область!",2024-07-04
61342,2024-07-06T04:24:18+00:00,carrier,mig31k,,False,kpszsu,16228,"⚠Увага!
🚀Ракетна небезпека по всій території України!
🛫Зліт МіГ31К.",2024-07-05
61343,2024-07-07T19:50:18+00:00,carrier,tu95,Оленья,False,kpszsu,16265,"⚠ Увага!
✈️ Зафіксовано зліт 4 бортів Ту-95 з аеродрому ""Оленья"" (Мурманська область, рф).
Орієнтовний час виходу на пускові рубежі – після 01:10.
Слідкуйте за нашими повідомленнями!
У разі оголошення повітряної тривоги – прямуйте в укриття!",2024-07-07
61344,2024-07-08T04:19:30+00:00,carrier,tu95,Оленья,False,kpszsu,16291,"⚠ Увага!
✈️ Зафіксовано зліт 5 бортів Ту-95 з аеродрому ""Оленья"" (Мурманська область, рф).",2024-07-07
61345,2024-07-08T04:20:09+00:00,carrier,mig31k,,False,kpszsu,16292,"⚠Увага!
Ракетна небезпека по всій території України!
Зліт МіГ-31К!",2024-07-07
61346,2024-07-08T04:43:56+00:00,carrier,mig31k,,True,kpszsu,16293,"📢 Відбій загрози МіГ-31К .

🛬 Активність ворожої тактичної авіації  на сході та південному сході! 
🚀 Є загроза застосування авіаційних засобів ураження для прифронтових областей!",2024-07-07
61347,2024-07-08T07:06:18+00:00,carrier,mig31k,,False,kpszsu,16304,Зафіксовано зліт МіГ- 31К!,2024-07-07
61348,2024-07-10T17:56:52+00:00,carrier,mig31k,,False,kpszsu,16418,"⚠Увага!
🚀Ракетна небезпека по всій території України.
🛫Зафіксовано зліт МіГ-31К!",2024-07-10
61349,2024-07-11T12:31:01+00:00,carrier,mig31k,,False,kpszsu,16446,"⚠Увага!
🚀Ракетна небезпека по всій території України.
🛫Зафіксовано зліт МіГ-31К!",2024-07-11
61350,2024-07-11T14:28:56+00:00,carrier,mig31k,,False,kpszsu,16448,"⚠Увага!
🚀Ракетна небезпека по всій території України.
🛫Зафіксовано зліт МіГ-31К!",2024-07-11
61351,2024-07-11T19:50:48+00:00,carrier,mig31k,,False,kpszsu,16474,"⚠Увага!
🚀Ракетна небезпека по всій території України.
🛫Зафіксовано зліт МіГ-31К!",2024-07-11
61352,2024-07-11T20:18:40+00:00,carrier,mig31k,,True,kpszsu,16477,📢 Відбій загрози по МіГ-31К!,2024-07-11
61353,2024-07-12T18:24:19+00:00,carrier,mig31k,Саваслейка,False,kpszsu,16499,"⚠Увага!
🚀Ракетна небезпека по всій території України.
🛫Зафіксовано зліт МіГ-31К з аеродрому Саваслейка!",2024-07-12
61354,2024-07-13T08:17:59+00:00,carrier,mig31k,Саваслейка,False,kpszsu,16511,"⚠Увага!
Ракетна небезпека по всій території України! Зліт МіГ-31К з аеродрому Саваслейка.",2024-07-12
61355,2024-07-15T05:17:57+00:00,carrier,mig31k,,False,kpszsu,16571,"⚠Увага!
🚀Ракетна небезпека по всій території України!
🛫Зафіксовано зліт МіГ 31 К!",2024-07-14
61356,2024-07-17T18:28:54+00:00,carrier,mig31k,Саваслейка,False,kpszsu,16678,"⚠УВАГА
🚨 Вся Україна - ракетна небезпека!
🛫 Зафіксовано зліт МіГ-31К з аеродрому Саваслейка (Нижньогородська область).",2024-07-17
61357,2024-07-17T20:08:22+00:00,carrier,mig31k,Саваслейка,False,kpszsu,16685,"⚠УВАГА
🚨 Вся Україна - ракетна небезпека!
🛫 Зафіксовано зліт МіГ-31К з аеродрому Саваслейка (Нижньогородська область).",2024-07-17
61358,2024-07-22T20:57:13+00:00,carrier,mig31k,,False,kpszsu,16831,"⚠УВАГА
Вся Україна - ракетна небезпека!
🛫 Зафіксовано зліт МіГ-31К!",2024-07-22
61359,2024-07-22T21:20:15+00:00,carrier,mig31k,,True,kpszsu,16835,"📢 Відбій загрози по МіГ-31.

🛫 Зберігається активність ворожої тактичної авіації на північно-східному напрямку.",2024-07-22
61360,2024-07-24T09:31:31+00:00,carrier,mig31k,Саваслейка,False,kpszsu,16883,"⚠УВАГА
🚨 Вся Україна - ракетна небезпека!
🛫 Зафіксовано зліт МіГ-31К з аеродрому Саваслейка (Нижньогородська область).",2024-07-24
61361,2024-07-25T17:59:55+00:00,carrier,tu95,Оленья,False,kpszsu,16939,"⚠ Увага!
✈ Зліт 3 бортів Ту-95 та 3-х Ту-22 із аеродрому Оленья (Мурманська область, рф)! 

Слідкуйте за нашими повідомленнями!
У разі оголошення повітряної тривоги – прямуйте в укриття!",2024-07-25
61362,2024-07-25T21:12:46+00:00,carrier,mig31k,,False,kpszsu,16947,"⚠Увага!
🚀Ракетна небезпека по всій території України!
🛫Зафіксовано зліт МіГ-31К з ае ""Саваслейка""!",2024-07-25
61363,2024-07-25T21:29:43+00:00,carrier,mig31k,,True,kpszsu,16949,📢 Відбій загрози по МіГ-31.,2024-07-25
61364,2024-07-30T17:08:01+00:00,carrier,mig31k,Саваслейка,False,kpszsu,17109,"⚠УВАГА
🚨 Вся Україна - ракетна небезпека!
🛫 Зафіксовано зліт МіГ-31К з аеродрому Саваслейка (Нижньогородська область).",2024-07-30
61365,2024-07-30T23:36:49+00:00,carrier,mig31k,,False,kpszsu,17160,"⚠Увага!
Ракетна небезпека по всій території України! Зліт МіГ-31К з Астрахані!",2024-07-30
61366,2024-07-31T09:23:17+00:00,carrier,mig31k,Саваслейка,False,kpszsu,17194,"⚠УВАГА
🚨 Вся Україна - ракетна небезпека!
🛫 Зафіксовано зліт МіГ-31К з аеродрому Саваслейка (Нижньогородська область).",2024-07-31
61367,2024-08-02T07:47:24+00:00,carrier,mig31k,,False,kpszsu,17281,"⚠УВАГА
🚨 Вся Україна - ракетна небезпека!
🛫 Зафіксовано зліт МіГ-31К",2024-08-01
61368,2024-08-05T15:13:51+00:00,carrier,mig31k,,False,kpszsu,17413,"⚠ Увага!
Ракетна небезпека по всій території України! Зліт МіГ-31К.
Не ігноруйте сигнал повітряної тривоги!",2024-08-05
61369,2024-08-08T03:22:15+00:00,carrier,mig31k,,False,kpszsu,17516,"⚠ Увага!
Ракетна небезпека по всій території України! Зліт МіГ-31К.
Не ігноруйте сигнал повітряної тривоги!",2024-08-07
61370,2024-08-08T04:03:51+00:00,carrier,mig31k,,True,kpszsu,17517,"📢 Відбій небезпеки по МіГ-31К..

🚀Ракетна небезпека зберігається для Сумської області.",2024-08-07
61371,2024-08-13T04:21:52+00:00,carrier,mig31k,,False,kpszsu,17688,"🚨 Увага!
Ракетна небезпека по всій території України! Зліт МіГ-31К .",2024-08-12
61372,2024-08-24T07:52:54+00:00,carrier,mig31k,,False,kpszsu,18158,"⚠Увага!
🛫 Зафіксовано зліт МіГ-31К!",2024-08-23
61373,2024-08-26T06:03:12+00:00,carrier,mig31k,Саваслейка,False,kpszsu,18296,Зліт МіГ-31К з аеродрому Саваслейка.,2024-08-25
61374,2024-08-27T00:18:31+00:00,carrier,mig31k,,False,kpszsu,18349,"""⚠️ Увага!
Ракетна небезпека по всій території України! Зліт МіГ-31К 
Не ігноруйте сигнал повітряної тривоги!""",2024-08-26
61375,2024-08-27T00:59:29+00:00,carrier,tu95,Енгельс,False,kpszsu,18352,"⚠ Увага!
✈ Зафіксовано зліт кількох Ту-95мс з аеродрому Енгельс.
🕓 Орієнтовний час виходу на пускові рубежі – 4.30.
👀 Слідкуйте за нашими повідомленнями та не ігноруйте сигнали повітряної тривоги.",2024-08-26
61376,2024-09-05T09:16:20+00:00,carrier,mig31k,,False,kpszsu,18856,"🚨 Увага!
Ракетна небезпека по всій території України! Зліт МіГ-31К .",2024-09-05
61377,2024-09-20T18:18:43+00:00,carrier,mig31k,,False,kpszsu,19682,"🚨 Увага!
Ракетна небезпека по всій території України! Зліт МіГ-31К .",2024-09-20
61378,2024-09-26T07:00:22+00:00,carrier,mig31k,,False,kpszsu,20034,"⚠Увага!
Ракетна небезпека по всій території України! Зліт МіГ-31К 
Не ігноруйте сигнал повітряної тривоги!""",2024-09-25
61379,2024-09-27T14:36:15+00:00,carrier,mig31k,,True,kpszsu,20133,📢 Відбій небезпеки по МіГ-31К.,2024-09-27
