handle,title,tier,role,is_active,added_at
Vitaliy_Klitschko,Віталій Кличко,official,"наслідки по місту: влучання, постраждалі",True,2026-09-07T17:47:24.358826+00:00
air_alert_ua,Повітряна тривога,official,тривоги по регіонах + тип загрози,True,2026-09-07T17:47:24.358826+00:00
dsns_telegram,ДСНС України,official,"ліквідація наслідків, влучання, загиблі",True,2026-09-07T17:47:24.358826+00:00
kiev_info0,Київ Інфо,monitor,"районні попередження і чутки — ознака, не лейбл",True,2026-09-07T17:47:24.358826+00:00
kpszsu,Повітряні Сили ЗСУ,official,добові зведення (національні числа) + супровід цілей курсом на Київ,True,2026-09-07T17:47:24.358826+00:00
kyiv_alarm,Тривога Київ,official,тривога по місту з типом загрози (Шахеди / балістика),True,2026-09-07T17:47:24.358826+00:00
kyivoda,Київська ОВА,official,"тривоги по районах області, наслідки по області",True,2026-09-07T17:47:24.358826+00:00
povitryanatrivoga,Повітряна тривога (моніторинг),monitor,"зльоти МіГ-31К та пуски — ВИПЕРЕДЖУВАЛЬНА ознака, не лейбл",True,2026-09-07T17:47:24.358826+00:00
