горизонт,ціль,оцінка,log_loss,brier,roc_auc,різниця_до_кліматології,ді_низ,ді_верх,значущо
сьогодні,y_attacked_i,модель,0.7074308150054797,0.25674162693814256,0.5857995087144695,-0.010903599733879915,-0.0397748273807133,0.017868111131195876,False
сьогодні,y_attacked_i,константа,0.7183344147393594,0.26249385392367086,0.5,0.0,0.0,0.0,False
сьогодні,y_attacked_i,персистенція,0.722013708352833,0.2636995684302409,0.5164931570943969,0.003679293613473362,-0.02861687647411163,0.034829453889806475,False
сьогодні,y_attacked_i,кліматологія 30,0.6837436232557474,0.24553166069295104,0.5674347876944672,-0.03459079148361222,-0.09549018953284096,0.01967288700706697,False
сьогодні,S_ge1,модель,0.5721447652446408,0.1919724236342393,0.5248287671232876,0.021890775930198066,-0.04416018531600286,0.08274314755102448,False
сьогодні,S_ge1,константа,0.5584608703110304,0.18455257349764764,0.5,0.008206880996587623,-0.05199141235397583,0.06205332931730808,False
сьогодні,S_ge1,персистенція,0.5521012663305124,0.18194639591912867,0.5222602739726028,0.0018472770160696279,-0.059492777092164086,0.05113125832989214,False
сьогодні,S_ge1,кліматологія 30,0.5502539893144427,0.1782198327359618,0.4694349315068493,0.0,0.0,0.0,False
сьогодні,S_ge3,модель,0.2483983297108696,0.06802211411110838,0.8696013289036545,-0.04634074005644287,-0.08937349507453564,-0.008401137196774476,True
сьогодні,S_ge3,константа,0.29473906976731246,0.07180213561425416,0.5,0.0,0.0,0.0,False
сьогодні,S_ge3,персистенція,0.27013778177248815,0.07004309904704534,0.8098006644518272,-0.02460128799482436,-0.0659863020545509,0.0005285089671328953,False
сьогодні,S_ge3,кліматологія 30,0.1983818986306596,0.056060454002389494,0.8280730897009966,-0.09635717113665289,-0.22662732351284418,0.0061323043848570385,False
завтра,y_attacked_i,модель,1.7706817279833458,0.429919864290773,0.49128553047140017,1.0489809299963444,0.6284245807478802,1.5573560986517843,True
завтра,y_attacked_i,константа,0.7183344147393594,0.26249385392367086,0.5,-0.0033663832476416404,-0.032016422710521915,0.02307274392791665,False
завтра,y_attacked_i,персистенція,0.7217007979870013,0.2635581820703951,0.5164931570943969,0.0,0.0,0.0,False
завтра,y_attacked_i,кліматологія 30,0.6800370525059534,0.2438888888888889,0.5829921628260615,-0.04166374548104778,-0.08480038846855523,0.0033561231896863716,False
завтра,S_ge1,модель,1.5878029757404086,0.45493221374158305,0.4761986301369864,1.032916289380839,0.6058060055751653,1.5511284705330732,True
завтра,S_ge1,константа,0.5584608703110304,0.18455257349764764,0.5,0.0035741839514610418,-0.06520561670563478,0.06014172283907917,False
завтра,S_ge1,персистенція,0.5563847878194345,0.18409581698426722,0.4904109589041096,0.001498101459865223,-0.06643351370389235,0.05386419007872706,False
завтра,S_ge1,кліматологія 30,0.5548866863595694,0.17896654719235366,0.461472602739726,0.0,0.0,0.0,False
завтра,S_ge3,модель,0.3032314188075348,0.07226567098977696,0.6540697674418604,0.008492349040222311,-0.0045671188235268554,0.026633978581842722,False
завтра,S_ge3,константа,0.29473906976731246,0.07180213561425416,0.5,0.0,0.0,0.0,False
завтра,S_ge3,персистенція,0.2731220081077281,0.07025512207215982,0.7711794019933554,-0.021617061659584404,-0.05795016686252392,0.0006091199521626333,False
завтра,S_ge3,кліматологія 30,0.21048561797800633,0.05856941457586619,0.8145764119601329,-0.08425345178930617,-0.20062913179033462,0.006574202589959034,False
